elsoura,meaning,elgoz2,text,elsoura2
سورة البقرة,ذلك القرآن,الجزء الاول,ذلك الكتب,سورة البقرة
سورة البقرة,لا شك فيه,الجزء الاول,لا ريبۛ فيهۛ,سورة البقرة
سورة البقرة,سبب للهداية والعصمة من الضلال,الجزء الاول,هدى,سورة البقرة
سورة البقرة,للذين جعلوا بينهم وبين عذاب الله تعالى وقاية بامتثال أوامره واجتناب نواهيه,الجزء الاول,للمتقين,سورة البقرة
سورة البقرة,الذين يصدقون,الجزء الاول,الذين يؤمنون,سورة البقرة
سورة البقرة,بما يخبر به الرسل من المغيبات,الجزء الاول,بالغيب,سورة البقرة
سورة البقرة,ويحافظون على أداء الصلاة,الجزء الاول,ويقيمون الصلوة,سورة البقرة
سورة البقرة,ومما أعطيناهم,الجزء الاول,ومما رزقنهم,سورة البقرة
سورة البقرة,يزكون ويتصدقون,الجزء الاول,ينفقون,سورة البقرة
سورة البقرة,والذين يصدقون,الجزء الاول,والذين يؤمنون,سورة البقرة
سورة البقرة,بالكتاب الذي أنزل إليك,الجزء الاول,بما أنزل إليك,سورة البقرة
سورة البقرة,والكتب التي أنزلت إلى من سبقك من الرسل,الجزء الاول,وما أنزل من قبلك,سورة البقرة
سورة البقرة,وبالحياة الآخرة التى تعقب الحياة الدنيا,الجزء الاول,وبالأخرة,سورة البقرة
سورة البقرة,هم يصدقون ويتحققون,الجزء الاول,هم يوقنون,سورة البقرة
سورة البقرة,أولئك على رشاد وتوفيق,الجزء الاول,أولئك على هدى,سورة البقرة
سورة البقرة,من مالكهم ومدبر أمرهم,الجزء الاول,من ربهم,سورة البقرة
سورة البقرة,,الجزء الاول,,سورة البقرة
سورة البقرة,وألئك هم الفائزون,الجزء الاول,وأولئك هم المفلحون,سورة البقرة
سورة البقرة,إن الذين جحدوا,الجزء الاول,إن الذين كفروا,سورة البقرة
سورة البقرة,يتساوى لديهم,الجزء الاول,سواء عليهم,سورة البقرة
سورة البقرة,أخوفتهم وحذرتهم,الجزء الاول,ءأنذرتهم,سورة البقرة
سورة البقرة,أم لم تخوفهم وتحذرهم,الجزء الاول,أم لم تنذرهم,سورة البقرة
سورة البقرة,لا يصدقون,الجزء الاول,لا يؤمنون,سورة البقرة
سورة البقرة,طبع الله على قلوبهم,الجزء الاول,ختم الله على قلوبهم,سورة البقرة
سورة البقرة,وعلى آذانهم,الجزء الاول,وعلى سمعهم,سورة البقرة
سورة البقرة,وعلى أبصارهم غطاء,الجزء الاول,وعلى أبصرهم غشوة,سورة البقرة
سورة البقرة,ولهم عذاب شديد,الجزء الاول,ولهم عذاب عظيم,سورة البقرة
سورة البقرة,ومن الناس من يقول صدقنا بالله,الجزء الاول,ومن الناس من يقول ءامنا بالله,سورة البقرة
سورة البقرة,وبيوم القيامة,الجزء الاول,وباليوم الأخر,سورة البقرة
سورة البقرة,وما هم بمصدقين,الجزء الاول,وما هم بمؤمنين,سورة البقرة
سورة البقرة,يظهرون التصديق ويبطنون الجحود ليغروا الله,الجزء الاول,يخدعون الله,سورة البقرة
سورة البقرة,والذين صدقوا,الجزء الاول,والذين ءامنوا,سورة البقرة
سورة البقرة,وما يغرون إلا أنفسهم,الجزء الاول,وما يخدعون إلا أنفسهم ,سورة البقرة
سورة البقرة,وما يفطنون,الجزء الاول,وما يشعرون ,سورة البقرة
سورة البقرة,في قلوبهم داء هو الشك أو النفاق,الجزء الاول,في قلوبهم مرض,سورة البقرة
سورة البقرة,فزادهم الله داء,الجزء الاول,فزادهم الله مرضا,سورة البقرة
سورة البقرة,ولهم عذاب موجع,الجزء الاول,ولهم عذاب أليم,سورة البقرة
سورة البقرة,بما كانوا يمينون,الجزء الاول,بما كانوا يكذبون,سورة البقرة
سورة البقرة,وإذا قيل لهم تجنبوا الإفساد في الأرض,الجزء الاول,وإذا قيل لهم لا تفسدوا في الأرض ,سورة البقرة
سورة البقرة,قالوا إنما نقوم بما يصلح,الجزء الاول,قالوا إنما نحن مصلحون,سورة البقرة
سورة البقرة,ألا إنهم هم الذين يقومون بالإفساد,الجزء الاول,ألا إنهم هم المفسدون,سورة البقرة
سورة البقرة,ولكن لا يفطنون,الجزء الاول,ولكن لا يشعرون,سورة البقرة
سورة البقرة,وإذا قيل لهم صدقوا ,الجزء الاول,وإذا قيل لهم ءامنوا,سورة البقرة
سورة البقرة,كما صدق الناس,الجزء الاول,كما ءامن الناس,سورة البقرة
سورة البقرة,قالوا أنصدق,الجزء الاول,قالوا أنؤمن,سورة البقرة
سورة البقرة,كما صدق,الجزء الاول,كما ءامن,سورة البقرة
سورة البقرة,الجاهلون الطائشون,الجزء الاول,السفهاء,سورة البقرة
سورة البقرة,ألا إنهم هم الجاهلون الطائشون,الجزء الاول,ألا إنهم هم السفهاء,سورة البقرة
سورة البقرة,ولكن لا يدرون,الجزء الاول,ولكن لا يعلمون,سورة البقرة
سورة البقرة,وإذا قابلوا,الجزء الاول,وإذا لقوا,سورة البقرة
سورة البقرة,الذين صدقوا,الجزء الاول,الذين ءامنوا,سورة البقرة
سورة البقرة,قالوا صدقنا,الجزء الاول,قالوا ءامنا,سورة البقرة
سورة البقرة,وإذا انفردوا,الجزء الاول,وإذا خلوا,سورة البقرة
سورة البقرة,إلى عتاتهم,الجزء الاول,إلى شيطينهم,سورة البقرة
سورة البقرة,قالوا لم نفارق ما أنتم عليه,الجزء الاول,قالوا إنا معكم,سورة البقرة
سورة البقرة,إنما نحن ساخرون,الجزء الاول,إنما نحن مستهزءون,سورة البقرة
سورة البقرة,الله يسخر منهم,الجزء الاول,الله يستهزئ بهم,سورة البقرة
سورة البقرة,ويزيدهم ويملي لهم,الجزء الاول,ويمدهم,سورة البقرة
سورة البقرة,في بغيهم وعتوهم,الجزء الاول,في طغينهم ,سورة البقرة
سورة البقرة,يترددون ويتحيرون,الجزء الاول,يعمهون ,سورة البقرة
سورة البقرة,ألئك الذين اشتروا الزيغ,الجزء الاول,أولئك الذين اشتروا الضللة,سورة البقرة
سورة البقرة,بالرشاد,الجزء الاول,بالهدى ,سورة البقرة
سورة البقرة,فما نمت,الجزء الاول,فما ربحت,سورة البقرة
سورة البقرة,مبايعتهم,الجزء الاول,تجرتهم ,سورة البقرة
سورة البقرة,وما كانوا راشدين,الجزء الاول,وما كانوا مهتدين,سورة البقرة
سورة البقرة,حالهم,الجزء الاول,مثلهم ,سورة البقرة
سورة البقرة,كحال,الجزء الاول,كمثل ,سورة البقرة
سورة البقرة,الذي طلب إيقاد نار,الجزء الاول,الذي استوقد نارا,سورة البقرة
سورة البقرة,فلما أنارت,الجزء الاول,فلما أضاءت,سورة البقرة
سورة البقرة,ما يحيط به,الجزء الاول,ما حوله,سورة البقرة
سورة البقرة,ذهب الله بضيائهم,الجزء الاول,ذهب الله بنورهم,سورة البقرة
سورة البقرة,وتركهم في طبقات من الظلام,الجزء الاول,وتركهم في ظلمتٖ,سورة البقرة
سورة البقرة,لا يرون,الجزء الاول,لا يبصرون ,سورة البقرة
سورة البقرة,طرش,الجزء الاول,صم ,سورة البقرة
سورة البقرة,خرس,الجزء الاول,بكم ,سورة البقرة
سورة البقرة,فاقدو النظر,الجزء الاول,عمي ,سورة البقرة
سورة البقرة,فهم لا يعودون,الجزء الاول,فهم لا يرجعون,سورة البقرة
سورة البقرة,أو كحال مطر شديد نازل من السماء,الجزء الاول,أو كصيبٖ من السماء,سورة البقرة
سورة البقرة,,الجزء الاول,,سورة البقرة
سورة البقرة,فيه ظلام متراكم ورعد وبرق,الجزء الاول,فيه ظلمت ورعد وبرق,سورة البقرة
سورة البقرة,يضعون أصابعهم,الجزء الاول,يجعلون أصبعهم,سورة البقرة
سورة البقرة,في أسماعهم,الجزء الاول,في ءاذانهم,سورة البقرة
سورة البقرة,خوف الصواعق,الجزء الاول,من الصوعق,سورة البقرة
سورة البقرة,خشية الموت,الجزء الاول,حذر الموت,سورة البقرة
سورة البقرة,والله محيط بقدرته وسلطانه بالجاحدين,الجزء الاول,والله محيط بالكفرين,سورة البقرة
سورة البقرة,يكاد البرق يسلب أبصارهم,الجزء الاول,يكاد البرق يخطف أبصرهم,سورة البقرة
سورة البقرة,كلما أنار لهم,الجزء الاول,كلما أضاء لهم,سورة البقرة
سورة البقرة,ساروا فيه,الجزء الاول,مشوا فيه,سورة البقرة
سورة البقرة,وإذا صار عليهم ظلاما,الجزء الاول,وإذا أظلم عليهم,سورة البقرة
سورة البقرة,وقفوا,الجزء الاول,قاموا,سورة البقرة
سورة البقرة,ولو أراد الله,الجزء الاول,ولو شاء الله,سورة البقرة
سورة البقرة,لسلب سمعهم وأبصارهم,الجزء الاول,لذهب بسمعهم وأبصرهم,سورة البقرة
سورة البقرة,إن الله على قادر على كل أمر,الجزء الاول,إن الله على كل شيءٖ قدير,سورة البقرة
سورة البقرة,يا أيها الناس اخضعوا وعظموا,الجزء الاول,يأيها الناس اعبدوا,سورة البقرة
سورة البقرة,مالككم ومدبر أمركم,الجزء الاول,ربكم ,سورة البقرة
سورة البقرة,الذي أنشأكم,الجزء الاول,الذي خلقكم,سورة البقرة
سورة البقرة,والذين سبقوكم,الجزء الاول,والذين من قبلكم,سورة البقرة
سورة البقرة,لعلكم تجعلون بينكم وبين عذاب الله تعالى وقاية بامتثال أوامره واجتناب نواهيه,الجزء الاول,لعلكم تتقون,سورة البقرة
سورة البقرة,الذي صير,الجزء الاول,الذي جعل,سورة البقرة
سورة البقرة,لكم الأرض بساطا ومهادا,الجزء الاول,لكم الأرض فرشا,سورة البقرة
سورة البقرة,والسماء سقفا مبنيا كالقبة,الجزء الاول,والسماء بناء ,سورة البقرة
سورة البقرة,وأنزل من السماء مطرا,الجزء الاول,وأنزل من السماء ماء,سورة البقرة
سورة البقرة,فأنبت به من الثمرات,الجزء الاول,فأخرج به من الثمرت,سورة البقرة
سورة البقرة,طعاما لكم,الجزء الاول,رزقا لكم,سورة البقرة
سورة البقرة,فلا تجعلوا لله أمثالا ونظراء,الجزء الاول,فلا تجعلوا لله أندادا,سورة البقرة
سورة البقرة,وأنتم تدرون,الجزء الاول,و أنتم تعلمون,سورة البقرة
سورة البقرة,وإن كنتم في شك,الجزء الاول,وإن كنتم في ريبٖ,سورة البقرة
سورة البقرة,مما أنزلنا,الجزء الاول,مما نزلنا,سورة البقرة
سورة البقرة,على عبدنا محمد صلى الله عليه وسلم من الوحي,الجزء الاول,على عبدنا,سورة البقرة
سورة البقرة,فأتوا بسورة تشبهه,الجزء الاول,فأتوا بسورةٖ من مثله,سورة البقرة
سورة البقرة,واسألوا واستنصروا,الجزء الاول,وادعوا,سورة البقرة
سورة البقرة,آلهتكم أو من ترون أنه يستطيع نفعكم من دون الله,الجزء الاول,شهداءكم من دون الله ,سورة البقرة
سورة البقرة,إن كنتم محقين,الجزء الاول,إن كنتم صدقين,سورة البقرة
سورة البقرة,فإن لم تأتوا بها,الجزء الاول,فإن لم تفعلوا,سورة البقرة
سورة البقرة,ولن تأتوا بها,الجزء الاول,ولن تفعلوا,سورة البقرة
سورة البقرة,فاحذروا وخافوا النار,الجزء الاول,فاتقوا النار,سورة البقرة
سورة البقرة,التي حطبها,الجزء الاول,التي وقودها,سورة البقرة
سورة البقرة,البشر والحجارة,الجزء الاول,الناس والحجارة,سورة البقرة
سورة البقرة,هيئت,الجزء الاول,أعدت,سورة البقرة
سورة البقرة,للجاحدين,الجزء الاول,للكفرين,سورة البقرة
سورة البقرة,وبشر الذين صدقوا,الجزء الاول,وبشر الذين ءامنوا,سورة البقرة
سورة البقرة,وعملوا الأعمال الصالحة,الجزء الاول,وعملوا الصلحت,سورة البقرة
سورة البقرة,أن لهم حدائق,الجزء الاول,أن لهم جنتٖ,سورة البقرة
سورة البقرة,تجري من تحت أشجارها وقصورها الأنهار,الجزء الاول,تجري من تحتها الأنهر,سورة البقرة
سورة البقرة,كلما أعطوا,الجزء الاول,كلما رزقوا,سورة البقرة
سورة البقرة,منها من ثمرة عطاء,الجزء الاول,منها من ثمرةٖ رزقا ,سورة البقرة
سورة البقرة,قالوا هذا الذي أعطينا,الجزء الاول,قالوا هذا الذي رزقنا,سورة البقرة
سورة البقرة,في السابق في دار الدنيا,الجزء الاول,من قبل,سورة البقرة
سورة البقرة,وجيئوا به,الجزء الاول,وأتوا به,سورة البقرة
سورة البقرة,يشبه بعضه بعضا فى اللون والمنظر لا فى الطعم والحقيقة,الجزء الاول,متشبها,سورة البقرة
سورة البقرة,ولهم فيها زوجات,الجزء الاول,و لهم فيها أزوج,سورة البقرة
سورة البقرة,مطهرات من الحيض والنفاس ونحوهما من الأدناس,الجزء الاول,مطهرة,سورة البقرة
سورة البقرة,وهم فيها ماكثون إلى الأبد,الجزء الاول,وهم فيها خلدون,سورة البقرة
سورة البقرة,إن الله لا يستحيي أن يسوق مثلا,الجزء الاول,إن الله لا يستحي أن يضرب مثلا,سورة البقرة
سورة البقرة,من البعوضة,الجزء الاول,ما بعوضة,سورة البقرة
سورة البقرة,إلى ما هو أكبر منها,الجزء الاول,فما فوقها,سورة البقرة
سورة البقرة,فأما الذين صدقوا,الجزء الاول,فأما الذين ءامنوا,سورة البقرة
سورة البقرة,فيدرون أنه الحق,الجزء الاول,فيعلمون أنه الحق,سورة البقرة
سورة البقرة,من مالكهم ومدبر أمرهم,الجزء الاول,من ربهم,سورة البقرة
سورة البقرة,وأما الذين جحدوا,الجزء الاول,وأما الذين كفروا,سورة البقرة
سورة البقرة,فيتساءلون ما الذي يقصد الله بسوقه لهذا المثل,الجزء الاول,فيقولون ماذا أراد الله بهذا مثلاۘ,سورة البقرة
سورة البقرة,يزيغ به,الجزء الاول,يضل به ,سورة البقرة
سورة البقرة,عددا كبيرا,الجزء الاول,كثيرا ,سورة البقرة
سورة البقرة,ويرشد به,الجزء الاول,ويهدي به ,سورة البقرة
سورة البقرة,عددا كبيرا,الجزء الاول,كثيرا ,سورة البقرة
سورة البقرة,وما يزيغ به,الجزء الاول,وما يضل به,سورة البقرة
سورة البقرة,إلا الخارجين عن طاعة الله,الجزء الاول,إلا الفسقين,سورة البقرة
سورة البقرة,الذين ينكثون,الجزء الاول,الذين ينقضون,سورة البقرة
سورة البقرة,ميثاق الله,الجزء الاول,عهد الله,سورة البقرة
سورة البقرة,من بعد توثيقه,الجزء الاول,من بعد ميثقه ,سورة البقرة
سورة البقرة,ويصرمون,الجزء الاول,ويقطعون ,سورة البقرة
سورة البقرة,ما جاء الأمر من عند الله به أن يوصل,الجزء الاول,ما أمر الله به أن يوصل,سورة البقرة
سورة البقرة,ويقومون بالإفساد في الأرض,الجزء الاول,و يفسدون في الأرض,سورة البقرة
سورة البقرة,ألئك هم المغبونون الهالكون,الجزء الاول,أولئك هم الخسرون,سورة البقرة
سورة البقرة,كيف تجحدون بالله,الجزء الاول,كيف تكفرون بالله,سورة البقرة
سورة البقرة,وكنتم أمواتا فرزقكم الحياة,الجزء الاول,وكنتم أموتا فأحيكم,سورة البقرة
سورة البقرة,ثم يقدر عليكم الموت,الجزء الاول,ثم يميتكم,سورة البقرة
سورة البقرة,ثم يردكم إلى الحياة,الجزء الاول,ثم يحييكم,سورة البقرة
سورة البقرة,ثم إليه تردون,الجزء الاول,ثم إليه ترجعون,سورة البقرة
سورة البقرة,هو الذي أنشأ,الجزء الاول,هو الذي خلق,سورة البقرة
سورة البقرة,لكم الذي في الأرض,الجزء الاول,لكم ما في الأرض,سورة البقرة
سورة البقرة,كله,الجزء الاول,جميعا,سورة البقرة
سورة البقرة,ثم قصد إلى السماء,الجزء الاول,ثم استوى إلى السماء,سورة البقرة
سورة البقرة,فخلقهن وأتمهن وأحكمهن,الجزء الاول,فسوىهن ,سورة البقرة
سورة البقرة,سبع سماوات كل سماء فوق الأخرى,الجزء الاول,سبع سموتٖ ,سورة البقرة
سورة البقرة,وهو بكل أمر عليم,الجزء الاول,وهو بكل شيء عليم ,سورة البقرة
سورة البقرة,وإذ قال مالكك ومدبر أمرك للملائكة,الجزء الاول,وإذ قال ربك للملئكة,سورة البقرة
سورة البقرة,إني مقيم في الأرض,الجزء الاول,إني جاعل في الأرض ,سورة البقرة
سورة البقرة,من يتولى تصريف شؤونها أو من يخلف بعضهم بعضا فيها,الجزء الاول,خليفة,سورة البقرة
سورة البقرة,قالوا أتقيم فيها,الجزء الاول,قالوا أتجعل فيها,سورة البقرة
سورة البقرة,من يسعى بالفساد فيها,الجزء الاول,من يفسد فيها,سورة البقرة
سورة البقرة,ويريق الدماء,الجزء الاول,ويسفك الدماء,سورة البقرة
سورة البقرة,ونحن نقدس ونلهج,الجزء الاول,ونحن نسبح ,سورة البقرة
سورة البقرة,بثنائك,الجزء الاول,بحمدك ,سورة البقرة
سورة البقرة,وننزه ونجل لك,الجزء الاول,ونقدس لك,سورة البقرة
سورة البقرة,قال إني أدري,الجزء الاول,قال إني أعلم,سورة البقرة
سورة البقرة,ما لا تدرون,الجزء الاول,ما لا تعلمون,سورة البقرة
سورة البقرة,وعرّف آدم,الجزء الاول,وعلم ءادم,سورة البقرة
سورة البقرة,أسماء المسميات كلها,الجزء الاول,الأسماء كلها,سورة البقرة
سورة البقرة,ثم عرض هذه المسميات على الملائكة,الجزء الاول,ثم عرضهم على الملئكة,سورة البقرة
سورة البقرة,فقال أخبروني,الجزء الاول,فقال أنبٔوني,سورة البقرة
سورة البقرة,بأسماء هذه المسميات,الجزء الاول,بأسماء هؤلاء,سورة البقرة
سورة البقرة,إن كنتم محقين,الجزء الاول,إن كنتم صدقين,سورة البقرة
سورة البقرة,قالوا تنزهت وتقدست,الجزء الاول,قالوا سبحنك,سورة البقرة
سورة البقرة,لا معرفة لنا,الجزء الاول,لا علم لنا,سورة البقرة
سورة البقرة,إلا بما عرفتنا,الجزء الاول,إلا ما علمتنا,سورة البقرة
سورة البقرة,إنك أنت العالم علم إحاطة بكل شيء,الجزء الاول,إنك أنت العليم,سورة البقرة
سورة البقرة,المتقن البديع التدبير,الجزء الاول,الحكيم ,سورة البقرة
سورة البقرة,قال يا آدم أخبرهم بأسمائهم,الجزء الاول,قال ئادم أنبئهم بأسمائهم,سورة البقرة
سورة البقرة,فلما أخبرهم بأسمائهم,الجزء الاول,فلما أنبأهم بأسمائهم,سورة البقرة
سورة البقرة,قال ألم أخبركم بأني أعلم,الجزء الاول,قال ألم أقل لكم إني أعلم ,سورة البقرة
سورة البقرة,ما غاب في السموات والأرض,الجزء الاول,غيب السموت والأرض,سورة البقرة
سورة البقرة,وأعلم ما تظهرون,الجزء الاول,وأعلم ما تبدون,سورة البقرة
سورة البقرة,وما كنتم تخفون,الجزء الاول,وما كنتم تكتمون,سورة البقرة
سورة البقرة,وإذ خاطبنا الملائكة بقولنا,الجزء الاول,وإذ قلنا للملئكة,سورة البقرة
سورة البقرة,اسجدوا لآدم سجود انحناء تحية وتقديرا,الجزء الاول,اسجدوا لأدم,سورة البقرة
سورة البقرة,فانحنوا,الجزء الاول,فسجدوا ,سورة البقرة
سورة البقرة,إلا الشيطان الذي صار إبليسا لإبلاسه وهو الخيبة والإياس من رحمة الله تعالى,الجزء الاول,إلا إبليس,سورة البقرة
سورة البقرة,امتنع,الجزء الاول,أبى ,سورة البقرة
سورة البقرة,وترفع واستنكف,الجزء الاول,واستكبر ,سورة البقرة
سورة البقرة,وكان من الجاحدين,الجزء الاول,وكان من الكفرين,سورة البقرة
سورة البقرة,وقلنا يا آدم أقم أنت وزوجك بالجنة,الجزء الاول,وقلنا ئادم اسكن أنت وزوجك الجنة,سورة البقرة
سورة البقرة,وكلا منها أكلا هنيئا لا عناء فيه,الجزء الاول,وكلا منها رغدا,سورة البقرة
سورة البقرة,أنى شئتما,الجزء الاول,حيث شئتما,سورة البقرة
سورة البقرة,ولا تدنوا من هذه الشجرة,الجزء الاول,ولا تقربا هذه الشجرة,سورة البقرة
سورة البقرة,فتكونا من المتعدين الجائرين,الجزء الاول,فتكونا من الظلمين,سورة البقرة
سورة البقرة,فأغواهما الشيطان فأوقعهما في الخطيئة المخرجة من الجنة,الجزء الاول,فأزلهما الشيطن عنها,سورة البقرة
سورة البقرة,فتسبب لهما في الإخراج ,الجزء الاول,فأخرجهما ,سورة البقرة
سورة البقرة,مما كانا فيه من النعمة,الجزء الاول,مما كانا فيه ,سورة البقرة
سورة البقرة,وقلنا انزلوا إلى الأرض بعضكم لبعض عدو,الجزء الاول,وقلنا اهبطوا بعضكم لبعض عدو,سورة البقرة
سورة البقرة,ولكم في الأرض مكان تستقرون فيه,الجزء الاول,ولكم في الأرض مستقر,سورة البقرة
سورة البقرة,ومتاع تستمتعون به,الجزء الاول,ومتع  ,سورة البقرة
سورة البقرة,إلى أجل هو وقت فراقكم الدنيا بالموت أو قيام الساعة,الجزء الاول,إلى حينٖ ,سورة البقرة
سورة البقرة,فاستقبل ءادم,الجزء الاول,فتلقى ءادم,سورة البقرة
سورة البقرة,من مالكه ومدبر أمره كلمات,الجزء الاول,من ربه كلمتٖ,سورة البقرة
سورة البقرة,فقبل توبته,الجزء الاول,فتاب عليه,سورة البقرة
سورة البقرة,إنه هو الكثير القبول للتوبة,الجزء الاول,إنه هو التواب,سورة البقرة
سورة البقرة,الذي تدوم رحمته على جميع المؤمنين به,الجزء الاول,الرحيم ,سورة البقرة
سورة البقرة,قلنا انزلوا من الجنة جميعا,الجزء الاول,قلنا اهبطوا منها جميعا,سورة البقرة
سورة البقرة,فإما يجيئنكم,الجزء الاول,فإما يأتينكم,سورة البقرة
سورة البقرة,من عندي كتاب أو رسول يهدي إلي,الجزء الاول,مني هدى,سورة البقرة
سورة البقرة,فمن تبع ما جاء من عندي من الهدى,الجزء الاول,فمن تبع هداي,سورة البقرة
سورة البقرة,فلا خوف عليهم من عذاب الآخرة وأهوالها إذا قدموا إليها,الجزء الاول,فلا خوف عليهم ,سورة البقرة
سورة البقرة,ولا هم يأسون على ما فاتهم من متاع الدنيا إذا رحلوا عنها,الجزء الاول,ولا هم يحزنون,سورة البقرة
سورة البقرة,والذين جحدوا وكذبوا,الجزء الاول,والذين كفروا وكذبوا,سورة البقرة
سورة البقرة,ببيناتنا,الجزء الاول,بٔايتنا,سورة البقرة
سورة البقرة,أولئك أهل النار,الجزء الاول,أولئك أصحب النار,سورة البقرة
سورة البقرة,هم فيها ماكثون أبدا,الجزء الاول,هم فيها خلدون,سورة البقرة
سورة البقرة,يا بني يعقوب عليه السلام,الجزء الاول,يبني إسرءيل ,سورة البقرة
سورة البقرة,اذكروا فضلي,الجزء الاول,اذكروا نعمتي,سورة البقرة
سورة البقرة,الذي تفضلت به عليكم,الجزء الاول,التي أنعمت عليكم,سورة البقرة
سورة البقرة,وأوفوا بميثاقي ,الجزء الاول,وأوفوا بعهدي,سورة البقرة
سورة البقرة,أوف بميثاقكم,الجزء الاول,أوف بعهدكم,سورة البقرة
سورة البقرة,وإياي فخافوني,الجزء الاول,وإيي فارهبون ,سورة البقرة
سورة البقرة,وصدقوا بما أنزلت على محمد صلى الله عليه وسلم,الجزء الاول,وءامنوا بما أنزلت ,سورة البقرة
سورة البقرة,مصدقا لما معكم من الكتب التي أنزلت على نبييكم موسى وعيسى عليهما السلام,الجزء الاول,مصدقا لما معكم,سورة البقرة
سورة البقرة,ولا تكونوا أول جاحد به,الجزء الاول,ولا تكونوا أول كافر به,سورة البقرة
سورة البقرة,ولا تبتاعوا بآياتي,الجزء الاول,ولا تشتروا بٔايتي ,سورة البقرة
سورة البقرة,ثمنا بخسا هو الدنيا ومتاعها,الجزء الاول,ثمنا قليلا,سورة البقرة
سورة البقرة,وإياي فاتقوني بامتثال أوامري واجتناب نواهي,الجزء الاول,وإيي فاتقون,سورة البقرة
سورة البقرة,ولا تخلطوا الحق الذي أنزل إليكم,الجزء الاول,ولاتلبسوا الحق ,سورة البقرة
سورة البقرة,بالباطل الذي تفترونه,الجزء الاول,بالبطل ,سورة البقرة
سورة البقرة,وتخفوا الحق,الجزء الاول,وتكتموا الحق ,سورة البقرة
سورة البقرة,وأنتم تعلمون أنه الحق ,الجزء الاول,وأنتم تعلمون ,سورة البقرة
سورة البقرة,وحافظوا على أداء الصلاة,الجزء الاول,وأقيموا الصلوة ,سورة البقرة
سورة البقرة,وأدوا الزكاة,الجزء الاول,وءاتوا الزكوة ,سورة البقرة
سورة البقرة,وصلوا مع المصلين,الجزء الاول,واركعوا مع الركعين,سورة البقرة
سورة البقرة,أتطلبون من الناس ,الجزء الاول,أتأمرون الناس,سورة البقرة
سورة البقرة,بالخير,الجزء الاول,بالبر ,سورة البقرة
سورة البقرة,وتتركون أنفسكم,الجزء الاول,وتنسون أنفسكم ,سورة البقرة
سورة البقرة,وأنتم تقرأون,الجزء الاول,وأنتم تتلون ,سورة البقرة
سورة البقرة,التوراة,الجزء الاول,الكتب ,سورة البقرة
سورة البقرة,أفلا تفقهون,الجزء الاول,أفلا تعقلون ,سورة البقرة
سورة البقرة,واطلبوا العون في أموركم,الجزء الاول,واستعينوا ,سورة البقرة
سورة البقرة,بحبس النفس على ما تكره,الجزء الاول,بالصبر,سورة البقرة
سورة البقرة,وأداء الصلاة,الجزء الاول,والصلوة ,سورة البقرة
سورة البقرة,وإنها لشاقة ثقيلة,الجزء الاول,وإنها لكبيرة ,سورة البقرة
سورة البقرة,إلا على الخاضعين القانتين المستكينين,الجزء الاول,إلا على الخشعين ,سورة البقرة
سورة البقرة,الذين يستيقنون,الجزء الاول,الذين يظنون,سورة البقرة
سورة البقرة,أنهم مولاقو مالكهم ومدبر أمرهم,الجزء الاول,أنهم ملقوا ربهم ,سورة البقرة
سورة البقرة,وأنهم إليه آيبون,الجزء الاول,وأنهم إليه رجعون ,سورة البقرة
